id,link,org,repo,File,add_lib,rmv_lib,before,after,type
1,https://github.com/apache/incubator-plc4x/commit/4312eb178b6cb000ea8a3c78df70567182341331,apache,incubator-plc4x,plc4j/core/src/test/java/org/apache/plc4x/java/PlcDriverManagerTest.java,junit,testng,"import org.junit.Assert;
import org.testng.annotations.Test;","import org.junit.jupiter.api.Assertions;
import org.junit.jupiter.api.Tag;
import org.junit.jupiter.api.Test;",import
2,https://github.com/apache/incubator-plc4x/commit/4312eb178b6cb000ea8a3c78df70567182341331,apache,incubator-plc4x,plc4j/core/src/test/java/org/apache/plc4x/java/PlcDriverManagerTest.java,junit,testng,"    @Test(groups = { ""fast"" })
    public void getExistingDriverTest() throws PlcException {

        MockConnection mockConnection = (MockConnection) new PlcDriverManager().getConnection(""mock://some-cool-url"");
        Assert.assertNull(mockConnection.getAuthentication());
    }","    @Test
    @Tag(""fast"")
    void getExistingDriverTest() throws PlcException {
        MockConnection mockConnection = (MockConnection) new PlcDriverManager().getConnection(""mock://some-cool-url"");
        Assertions.assertNull(mockConnection.getAuthentication());
    }",multiple substitutions
3,https://github.com/apache/incubator-plc4x/commit/4312eb178b6cb000ea8a3c78df70567182341331,apache,incubator-plc4x,plc4j/core/src/test/java/org/apache/plc4x/java/PlcDriverManagerTest.java,junit,testng,"    @Test(groups = { ""fast"" })
    public void getExistingDriverWithAuthenticationTest() throws PlcException {

        PlcUsernamePasswordAuthentication authentication =
            new PlcUsernamePasswordAuthentication(""user"", ""pass"");
        MockConnection mockConnection = (MockConnection) new PlcDriverManager().getConnection(""mock://some-cool-url"", authentication);
        Assert.assertNotNull(mockConnection.getAuthentication());
        Assert.assertTrue(mockConnection.getAuthentication() instanceof PlcUsernamePasswordAuthentication);
    }","    @Test
    @Tag(""fast"")
    void getExistingDriverWithAuthenticationTest() throws PlcException {
        PlcUsernamePasswordAuthentication authentication =
            new PlcUsernamePasswordAuthentication(""user"", ""pass"");
        MockConnection mockConnection = (MockConnection) new PlcDriverManager().getConnection(""mock://some-cool-url"", authentication);
        Assertions.assertNotNull(mockConnection.getAuthentication());
        Assertions.assertTrue(mockConnection.getAuthentication() instanceof PlcUsernamePasswordAuthentication);
    }",multiple substitutions
4,https://github.com/apache/incubator-plc4x/commit/4312eb178b6cb000ea8a3c78df70567182341331,apache,incubator-plc4x,plc4j/core/src/test/java/org/apache/plc4x/java/PlcDriverManagerTest.java,junit,testng,"    @Test(groups = { ""fast"" }, expectedExceptions = {PlcConnectionException.class})
    public void getNotExistingDriverTest() throws PlcException {
        new PlcDriverManager().getConnection(""non-existing-protocol://some-cool-url"");


    }","    @Test
    @Tag(""fast"")
    void getNotExistingDriverTest() throws PlcException {
        Assertions.assertThrows(PlcConnectionException.class,
            () -> new PlcDriverManager().getConnection(""non-existing-protocol://some-cool-url""));
    }",multiple substitutions
5,https://github.com/apache/incubator-plc4x/commit/4312eb178b6cb000ea8a3c78df70567182341331,apache,incubator-plc4x,plc4j/core/src/test/java/org/apache/plc4x/java/PlcDriverManagerTest.java,junit,testng,"    @Test(groups = { ""fast"" }, expectedExceptions = {PlcConnectionException.class})
    public void getInvalidUriTest() throws PlcException {
        new PlcDriverManager().getConnection(""The quick brown fox jumps over the lazy dog"");


    }","    @Test
    @Tag(""fast"")
    void getInvalidUriTest() throws PlcException {
        Assertions.assertThrows(PlcConnectionException.class,
            () -> new PlcDriverManager().getConnection(""The quick brown fox jumps over the lazy dog""));
    }",multiple substitutions
6,https://github.com/apache/incubator-plc4x/commit/4312eb178b6cb000ea8a3c78df70567182341331,apache,incubator-plc4x,plc4j/core/src/test/java/org/apache/plc4x/java/PlcDriverManagerTest.java,junit,testng,"    @Test(groups = { ""fast"" }, expectedExceptions = {IllegalStateException.class})
    public void getDuplicateDriver() throws PlcException, MalformedURLException {

        // Save and replace the context classloader as we need to force the ServiceLoader to
        // use a different service file.
        ClassLoader originalClassloader = Thread.currentThread().getContextClassLoader();
        URL[] urls = new URL[1];
        urls[0] = new File(""src/test/resources/test"").toURI().toURL();
        ClassLoader fakeClassLoader = new URLClassLoader(urls, originalClassloader);
        new PlcDriverManager(fakeClassLoader).getConnection(""mock://some-cool-url"");


    }","    @Test
    @Tag(""fast"")
    void getDuplicateDriver() throws PlcException, MalformedURLException {
        // Save and replace the context classloader as we need to force the ServiceLoader to
        // use a different service file.
        ClassLoader originalClassloader = Thread.currentThread().getContextClassLoader();
        URL[] urls = new URL[1];
        urls[0] = new File(""src/test/resources/test"").toURI().toURL();
        ClassLoader fakeClassLoader = new URLClassLoader(urls, originalClassloader);

        Assertions.assertThrows(IllegalStateException.class,
            () -> new PlcDriverManager(fakeClassLoader).getConnection(""mock://some-cool-url""));
    }",multiple substitutions
7,https://github.com/apache/incubator-plc4x/commit/4312eb178b6cb000ea8a3c78df70567182341331,apache,incubator-plc4x,plc4j/protocols/s7/src/test/java/org/apache/plc4x/java/s7/S7PlcDriverTest.java,junit,testng,"import org.testng.Assert;
import org.testng.annotations.Test;","import org.junit.jupiter.api.Assertions;
import org.junit.jupiter.api.Tag;
import org.junit.jupiter.api.Test;",import
8,https://github.com/apache/incubator-plc4x/commit/4312eb178b6cb000ea8a3c78df70567182341331,apache,incubator-plc4x,plc4j/protocols/s7/src/test/java/org/apache/plc4x/java/s7/S7PlcDriverTest.java,junit,testng,"    @Test(groups = {""fast""})
    public void getConnectionTest() throws PlcException {

        S7PlcConnection s7Connection = (S7PlcConnection)
            new PlcDriverManager().getConnection(""s7://localhost/1/2"");
        Assert.assertEquals(s7Connection.getHostName(), ""localhost"");
        Assert.assertEquals(s7Connection.getRack(), 1);
        Assert.assertEquals(s7Connection.getSlot(), 2);
    }","    @Test
    @Tag(""fast"")
    void getConnectionTest() throws PlcException {
        S7PlcConnection s7Connection = (S7PlcConnection)
            new PlcDriverManager().getConnection(""s7://localhost/1/2"");
        Assertions.assertEquals(s7Connection.getHostName(), ""localhost"");
        Assertions.assertEquals(s7Connection.getRack(), 1);
        Assertions.assertEquals(s7Connection.getSlot(), 2);
    }",multiple substitutions
9,https://github.com/apache/incubator-plc4x/commit/4312eb178b6cb000ea8a3c78df70567182341331,apache,incubator-plc4x,plc4j/protocols/s7/src/test/java/org/apache/plc4x/java/s7/S7PlcDriverTest.java,junit,testng,"    @Test(groups = {""fast""}, expectedExceptions = {PlcConnectionException.class})
    public void getConnectionInvalidUrlTest() throws PlcException {
        new PlcDriverManager().getConnection(""s7://localhost/hurz/2"");


    }","    @Test
    @Tag(""fast"")
    void getConnectionInvalidUrlTest() throws PlcException {
        Assertions.assertThrows(PlcConnectionException.class,
            () -> new PlcDriverManager().getConnection(""s7://localhost/hurz/2""));
    }",multiple substitutions
10,https://github.com/apache/incubator-plc4x/commit/4312eb178b6cb000ea8a3c78df70567182341331,apache,incubator-plc4x,plc4j/protocols/s7/src/test/java/org/apache/plc4x/java/s7/S7PlcDriverTest.java,junit,testng,"    @Test(groups = {""fast""}, expectedExceptions = {PlcConnectionException.class})
    public void getConnectionWithAuthenticationTest() throws PlcException {
        new PlcDriverManager().getConnection(""s7://localhost/1/2"",
            new PlcUsernamePasswordAuthentication(""user"", ""pass""));


    }","    @Test
    @Tag(""fast"")
    void getConnectionWithAuthenticationTest() throws PlcException {
        Assertions.assertThrows(PlcConnectionException.class,
            () -> new PlcDriverManager().getConnection(""s7://localhost/1/2"",
                new PlcUsernamePasswordAuthentication(""user"", ""pass"")));
    }",multiple substitutions
11,https://github.com/linkedin/Cytodynamics/commit/e1f2795ef9a284bdeae933349c1fc11addccd3a9,linkedin,Cytodynamics,cytodynamics-nucleus/src/test/java/com/linkedin/cytodynamics/isolation/TestChooserMappingFactory.java,junit,testng,"import org.testng.annotations.Test;

import static org.testng.Assert.*;","import org.junit.Test;

import static org.junit.Assert.*;",import
12,https://github.com/linkedin/Cytodynamics/commit/e1f2795ef9a284bdeae933349c1fc11addccd3a9,linkedin,Cytodynamics,cytodynamics-nucleus/src/test/java/com/linkedin/cytodynamics/isolation/TestChooserMappingFactory.java,junit,testng,"  @Test(description = ""Validates that all isolation levels are handled in the mapping built by the factory"")","  /**
   * Validates that all isolation levels are handled in the mapping built by the factory
   */
  @Test",function swap
13,https://github.com/linkedin/Cytodynamics/commit/e1f2795ef9a284bdeae933349c1fc11addccd3a9,linkedin,Cytodynamics,cytodynamics-nucleus/src/test/java/com/linkedin/cytodynamics/isolation/TestFullIsolationChooser.java,junit,testng,"import org.testng.annotations.Test;

import static org.testng.Assert.*;","import org.junit.Test;

import static org.junit.Assert.*;",import
14,https://github.com/linkedin/Cytodynamics/commit/e1f2795ef9a284bdeae933349c1fc11addccd3a9,linkedin,Cytodynamics,cytodynamics-nucleus/src/test/java/com/linkedin/cytodynamics/isolation/TestNoneIsolationChooser.java,junit,testng,"import org.testng.annotations.Test;

import static org.testng.Assert.*;","import org.junit.Test;

import static org.junit.Assert.*;",import
15,https://github.com/linkedin/Cytodynamics/commit/e1f2795ef9a284bdeae933349c1fc11addccd3a9,linkedin,Cytodynamics,cytodynamics-nucleus/src/test/java/com/linkedin/cytodynamics/isolation/TestNoneIsolationListChooser.java,junit,testng,"import org.testng.annotations.Test;

import static org.testng.Assert.*;","import org.junit.Test;

import static org.junit.Assert.*;",import
16,https://github.com/linkedin/Cytodynamics/commit/e1f2795ef9a284bdeae933349c1fc11addccd3a9,linkedin,Cytodynamics,cytodynamics-nucleus/src/test/java/com/linkedin/cytodynamics/isolation/TestTransitionalIsolationChooser.java,junit,testng,"import org.testng.annotations.Test;
import static org.testng.Assert.*;","import org.junit.Test;
import static org.junit.Assert.*;",import
17,https://github.com/linkedin/Cytodynamics/commit/e1f2795ef9a284bdeae933349c1fc11addccd3a9,linkedin,Cytodynamics,cytodynamics-nucleus/src/test/java/com/linkedin/cytodynamics/isolation/TestTransitionalIsolationListChooser.java,junit,testng,"import org.testng.annotations.Test;
import static org.testng.Assert.*;","import org.junit.Test;
import static org.junit.Assert.*;",import
18,https://github.com/linkedin/Cytodynamics/commit/e1f2795ef9a284bdeae933349c1fc11addccd3a9,linkedin,Cytodynamics,cytodynamics-nucleus/src/test/java/com/linkedin/cytodynamics/matcher/BootstrapClassPredicateTest.java,junit,testng,"import org.testng.annotations.BeforeMethod;
import org.testng.annotations.Test;

import static org.testng.Assert.*;","import org.junit.Before;
import org.junit.Test;

import static org.junit.Assert.*;",import
19,https://github.com/linkedin/Cytodynamics/commit/e1f2795ef9a284bdeae933349c1fc11addccd3a9,linkedin,Cytodynamics,cytodynamics-nucleus/src/test/java/com/linkedin/cytodynamics/matcher/BootstrapClassPredicateTest.java,junit,testng,"  @BeforeMethod
  public void setup() {
    this.bootstrapClassPredicate = new BootstrapClassPredicate();
  }","  @Before
  public void setup() {
    this.bootstrapClassPredicate = new BootstrapClassPredicate();
  }",import
20,https://github.com/linkedin/Cytodynamics/commit/e1f2795ef9a284bdeae933349c1fc11addccd3a9,linkedin,Cytodynamics,cytodynamics-nucleus/src/test/java/com/linkedin/cytodynamics/matcher/GlobMatcherTest.java,junit,testng,"import org.testng.annotations.Test;

import static org.testng.Assert.*;","import org.junit.Test;

import static org.junit.Assert.*;",import
21,https://github.com/linkedin/Cytodynamics/commit/e1f2795ef9a284bdeae933349c1fc11addccd3a10,linkedin,Cytodynamics,cytodynamics-nucleus/src/test/java/com/linkedin/cytodynamics/nucleus/FileOriginRestrictionFilterTest.java,junit,testng,"import org.testng.annotations.Test;

import static org.testng.Assert.assertEquals;","import org.junit.Test;

import static org.junit.Assert.*;",import
