id,Link,org,repo,file,add_lib,rmv_lib,before,after,type
1,https://github.com/spring-projects/spring-batch/commit/7e1e66d677d8cdd9fbf1c9e07e5b307a249d9e05,spring-projects,spring-batch,spring-batch-core/src/test/java/org/springframework/batch/core/configuration/support/OsgiBundleXmlApplicationContextFactoryTests.java,mockito,easymock,"import static org.easymock.EasyMock.createMock;
import static org.easymock.EasyMock.createNiceMock;
import static org.easymock.EasyMock.expect;
import static org.easymock.EasyMock.replay;
import static org.easymock.EasyMock.verify;","
import static org.mockito.Mockito.mock;
import static org.mockito.Mockito.when;",import
2,https://github.com/spring-projects/spring-batch/commit/7e1e66d677d8cdd9fbf1c9e07e5b307a249d9e05,spring-projects,spring-batch,spring-batch-core/src/test/java/org/springframework/batch/core/configuration/support/OsgiBundleXmlApplicationContextFactoryTests.java,mockito,easymock,"BundleContext bundleContext = createMock(BundleContext.class);
Bundle bundle = createNiceMock(Bundle.class);
expect(bundleContext.getBundle()).andReturn(bundle).anyTimes();
replay(bundleContext, bundle);
verify(bundleContext, bundle);","BundleContext bundleContext = mock(BundleContext.class);
Bundle bundle = mock(Bundle.class);
when(bundleContext.getBundle()).thenReturn(bundle);",multiple substitutions
3,https://github.com/spring-projects/spring-batch/commit/7e1e66d677d8cdd9fbf1c9e07e5b307a249d9e05,spring-projects,spring-batch,spring-batch-core/src/test/java/org/springframework/batch/core/explore/support/JobExplorerFactoryBeanTests.java,mockito,easymock,import static org.easymock.EasyMock.createMock;,import static org.mockito.Mockito.mock;,import
4,https://github.com/spring-projects/spring-batch/commit/7e1e66d677d8cdd9fbf1c9e07e5b307a249d9e05,spring-projects,spring-batch,spring-batch-core/src/test/java/org/springframework/batch/core/explore/support/JobExplorerFactoryBeanTests.java,mockito,easymock,dataSource = createMock(DataSource.class);,dataSource = mock(DataSource.class);,function swap
5,https://github.com/spring-projects/spring-batch/commit/7e1e66d677d8cdd9fbf1c9e07e5b307a249d9e05,spring-projects,spring-batch,spring-batch-core/src/test/java/org/springframework/batch/core/explore/support/SimpleJobExplorerTests.java,mockito,easymock,"import static org.easymock.EasyMock.createMock;
import static org.easymock.EasyMock.expect;
import static org.easymock.EasyMock.expectLastCall;
import static org.easymock.EasyMock.replay;
import static org.easymock.EasyMock.verify;
import org.easymock.EasyMock;","import static org.mockito.Mockito.mock;
import static org.mockito.Mockito.when;",import
6,https://github.com/spring-projects/spring-batch/commit/7e1e66d677d8cdd9fbf1c9e07e5b307a249d9e05,spring-projects,spring-batch,spring-batch-core/src/test/java/org/springframework/batch/core/explore/support/SimpleJobExplorerTests.java,mockito,easymock,"jobExecutionDao = createMock(JobExecutionDao.class);
jobInstanceDao = createMock(JobInstanceDao.class);
stepExecutionDao = createMock(StepExecutionDao.class);
ecDao = createMock(ExecutionContextDao.class);","jobExecutionDao = mock(JobExecutionDao.class);
jobInstanceDao = mock(JobInstanceDao.class);
stepExecutionDao = mock(StepExecutionDao.class);
ecDao = mock(ExecutionContextDao.class);",function swap
7,https://github.com/spring-projects/spring-batch/commit/7e1e66d677d8cdd9fbf1c9e07e5b307a249d9e05,spring-projects,spring-batch,spring-batch-core/src/test/java/org/springframework/batch/core/explore/support/SimpleJobExplorerTests.java,mockito,easymock,"	@Test
	public void testGetJobExecution() throws Exception {
		expect(jobExecutionDao.getJobExecution(123L)).andReturn(jobExecution);
		expect(jobInstanceDao.getJobInstance(jobExecution)).andReturn(
				jobInstance);
		stepExecutionDao.addStepExecutions(jobExecution);
		expectLastCall();
		replay(jobExecutionDao, jobInstanceDao, stepExecutionDao);
		jobExplorer.getJobExecution(123L);
		verify(jobExecutionDao, jobInstanceDao, stepExecutionDao);
	}","	@Test
	public void testGetJobExecution() throws Exception {
		when(jobExecutionDao.getJobExecution(123L)).thenReturn(jobExecution);
		when(jobInstanceDao.getJobInstance(jobExecution)).thenReturn(
				jobInstance);
		stepExecutionDao.addStepExecutions(jobExecution);


		jobExplorer.getJobExecution(123L);

	}",multiple substitutions
8,https://github.com/spring-projects/spring-batch/commit/7e1e66d677d8cdd9fbf1c9e07e5b307a249d9e05,spring-projects,spring-batch,spring-batch-core/src/test/java/org/springframework/batch/core/explore/support/SimpleJobExplorerTests.java,mockito,easymock,"	@Test
	public void testMissingGetJobExecution() throws Exception {
		expect(jobExecutionDao.getJobExecution(123L)).andReturn(null);
		replay(jobExecutionDao);
		assertNull(jobExplorer.getJobExecution(123L));
		verify(jobExecutionDao);
	}","	@Test
	public void testMissingGetJobExecution() throws Exception {
		when(jobExecutionDao.getJobExecution(123L)).thenReturn(null);

		assertNull(jobExplorer.getJobExecution(123L));

	}",multiple substitutions
9,https://github.com/spring-projects/spring-batch/commit/7e1e66d677d8cdd9fbf1c9e07e5b307a249d9e05,spring-projects,spring-batch,spring-batch-core/src/test/java/org/springframework/batch/core/explore/support/SimpleJobExplorerTests.java,mockito,easymock,"	@Test
	public void testGetStepExecution() throws Exception {
		expect(jobExecutionDao.getJobExecution(jobExecution.getId())).andReturn(jobExecution);
		StepExecution stepExecution = jobExecution.createStepExecution(""foo"");
		expect(stepExecutionDao.getStepExecution(jobExecution, 123L))
		.andReturn(stepExecution);
		expect(ecDao.getExecutionContext(stepExecution)).andReturn(null);
		expectLastCall();
		replay(jobExecutionDao, stepExecutionDao, ecDao);
		jobExplorer.getStepExecution(jobExecution.getId(), 123L);
		verify(jobExecutionDao, stepExecutionDao, ecDao);
	}","	@Test
	public void testGetStepExecution() throws Exception {
		when(jobExecutionDao.getJobExecution(jobExecution.getId())).thenReturn(jobExecution);
		StepExecution stepExecution = jobExecution.createStepExecution(""foo"");
		when(stepExecutionDao.getStepExecution(jobExecution, 123L))
				.thenReturn(stepExecution);
		when(ecDao.getExecutionContext(stepExecution)).thenReturn(null);


		jobExplorer.getStepExecution(jobExecution.getId(), 123L);

	}",multiple substitutions
10,https://github.com/spring-projects/spring-batch/commit/7e1e66d677d8cdd9fbf1c9e07e5b307a249d9e05,spring-projects,spring-batch,spring-batch-core/src/test/java/org/springframework/batch/core/explore/support/SimpleJobExplorerTests.java,mockito,easymock,"	@Test
	public void testGetStepExecutionMissing() throws Exception {
		expect(jobExecutionDao.getJobExecution(jobExecution.getId())).andReturn(jobExecution);
		expectLastCall();
		expect(stepExecutionDao.getStepExecution(jobExecution, 123L))
		.andReturn(null);
		replay(jobExecutionDao, stepExecutionDao, ecDao);
		assertNull(jobExplorer.getStepExecution(jobExecution.getId(), 123L));
		verify(jobExecutionDao, stepExecutionDao, ecDao);
	}","	@Test
	public void testGetStepExecutionMissing() throws Exception {
		when(jobExecutionDao.getJobExecution(jobExecution.getId())).thenReturn(jobExecution);
		when(stepExecutionDao.getStepExecution(jobExecution, 123L))
				.thenReturn(null);


		assertNull(jobExplorer.getStepExecution(jobExecution.getId(), 123L));

	}",multiple substitutions
