id,repo_name,commit_code,file_name,type,legacy_lib,target_lib,code_before,code_after
1,ENCODE-DCC/encoded,efac433594736756def3c8e3daa797503585f7e8,src/encoded/commands/deploy.py,simple,boto,boto3,"from boto.ec2.blockdevicemapping import (
    BlockDeviceMapping,
    BlockDeviceType,
)
import boto.ec2
import boto.exception","import boto3
"
2,ENCODE-DCC/encoded,efac433594736756def3c8e3daa797503585f7e8,src/encoded/commands/deploy.py,complex,boto,boto3,"conn = boto.ec2.connect_to_region(""us-west-2"", profile_name=profile_name)


    domain = 'production' if profile_name == 'production' else 'instance'

    if any(name == i.tags.get('Name')
           for reservation in conn.get_all_instances()
           for i in reservation.instances
           if i.state != 'terminated'):","session = boto3.Session(region_name='us-west-2', profile_name=profile_name)
    ec2 = session.resource('ec2')

    domain = 'production' if profile_name == 'production' else 'instance'

    if any(ec2.instances.filter(
            Filters=[
                {'Name': 'tag:Name', 'Values': [name]},
                {'Name': 'instance-state-name',
                 'Values': ['pending', 'running', 'stopping', 'stopped']},
            ])):"
3,ENCODE-DCC/encoded,efac433594736756def3c8e3daa797503585f7e8,src/encoded/commands/deploy.py,simple,boto,boto3,"reservation = conn.run_instances(
        image_id=image_id,
        instance_type=instance_type,
        security_groups=security_groups,
        user_data=user_data,
        block_device_map=bdm,
        instance_initiated_shutdown_behavior='terminate',
        instance_profile_name='encoded-instance',","    reservation = ec2.create_instances(
        ImageId=image_id,
        MinCount=1,
        MaxCount=1,
        InstanceType=instance_type,
        SecurityGroups=security_groups,
        UserData=user_data,
        BlockDeviceMappings=bdm,
        instanceInitiatedShutdownBehavior='terminate',
        IamInstanceProfile={
            ""Name"": 'encoded-instance',
        }"
4,FCP-INDI/C-PAC,a0b38702cab01112752ba1870cb945946eef0388,CPAC/AWS/fetch_creds.py,complex,boto,boto3,"import boto
import boto.s3.connection

# Init variables
cf = boto.s3.connection.OrdinaryCallingFormat()

# Get AWS credentials if a creds_path is specified
if creds_path:
    aws_access_key_id, aws_secret_access_key = return_aws_keys(creds_path)

# Init connection
s3_conn = boto.connect_s3(aws_access_key_id, aws_secret_access_key,calling_format=cf)

else:
    s3_conn= boto.connect_s3(anon=True, calling_format=cf)

try:
    bucket = s3_conn.get_bucket(bucket_name)
except S3ResponseError as exc:
    err_msg = 'Unable to connect to bucket: %s; check credentials or ' \
              'bucket name spelling and try again. Error message: %s' \","    try:
        import boto3
        import botocore
    except ImportError as exc:
        err_msg = 'Boto3 package is not installed - install boto3 and '\
                  'try again.'
        raise Exception(err_msg)

    # Try and get AWS credentials if a creds_path is specified
    if creds_path:
        try:
            aws_access_key_id, aws_secret_access_key = \
                return_aws_keys(creds_path)
        except Exception as exc:
            err_msg = 'There was a problem extracting the AWS credentials '\
                      'from the credentials file provided: %s. Error:\n%s'\
                      % (creds_path, exc)
            raise Exception(err_msg)
        # Init connection
        print 'Connecting to S3 bucket: %s with credentials from %s ...'\
              % (bucket_name, creds_path)
        # Use individual session for each instance of DataSink
        # Better when datasinks are being used in multi-threading, see:
        # http://boto3.readthedocs.org/en/latest/guide/resources.html#multithreading
        session = boto3.session.Session(aws_access_key_id=aws_access_key_id,
                                        aws_secret_access_key=aws_secret_access_key)
        s3_resource = session.resource('s3', use_ssl=True)

    # Otherwise, connect anonymously
    else:
        print 'Connecting to AWS: %s anonymously...' % bucket_name
        session = boto3.session.Session()
        s3_resource = session.resource('s3', use_ssl=True)
        s3_resource.meta.client.meta.events.register('choose-signer.s3.*',
                                                     botocore.handlers.disable_signing)

    # Explicitly declare a secure SSL connection for bucket object
    bucket = s3_resource.Bucket(bucket_name)

    # And try fetch the bucket with the name argument
    try:
        s3_resource.meta.client.head_bucket(Bucket=bucket_name)
    except botocore.exceptions.ClientError as exc:
        error_code = int(exc.response['Error']['Code'])
        if error_code == 403:
            err_msg = 'Access to bucket: %s is denied; check credentials'\
                      % bucket_name
            raise Exception(err_msg)
        elif error_code == 404:
            err_msg = 'Bucket: %s does not exist; check spelling and try '\
                      'again' % bucket_name
            raise Exception(err_msg)
        else:
            err_msg = 'Unable to connect to bucket: %s. Error message:\n%s'\
                      % (bucket_name, exc)
    except Exception as exc:
        err_msg = 'Unable to connect to bucket: %s. Error message:\n%s'\"
5,GeoNode/geonode,e9658b4ef958b97b916091fea01e161f2c8d59f3,geonode/settings.py,simple,boto,boto3,"if S3_STATIC_ENABLED:
    STATICFILES_LOCATION = 'static'
    STATICFILES_STORAGE = 'storages.backends.s3boto.S3BotoStorage'
    STATIC_URL = ""https://%s/%s/"" % (AWS_S3_BUCKET_DOMAIN,
                                     STATICFILES_LOCATION)

if S3_MEDIA_ENABLED:
    MEDIAFILES_LOCATION = 'media'
    DEFAULT_FILE_STORAGE = 'storages.backends.s3boto.S3BotoStorage'
    MEDIA_URL = ""https://%s/%s/"" % (AWS_S3_BUCKET_DOMAIN, MEDIAFILES_LOCATION)","if S3_STATIC_ENABLED:
    STATICFILES_LOCATION = 'static'
    STATICFILES_STORAGE = 'storages.backends.s3boto3.S3Boto3Storage'
    STATIC_URL = ""https://%s/%s/"" % (AWS_S3_BUCKET_DOMAIN,
                                     STATICFILES_LOCATION)

if S3_MEDIA_ENABLED:
    MEDIAFILES_LOCATION = 'media'
    DEFAULT_FILE_STORAGE = 'storages.backends.s3boto3.S3Boto3Storage'
    MEDIA_URL = ""https://%s/%s/"" % (AWS_S3_BUCKET_DOMAIN, MEDIAFILES_LOCATION)"
6,GeoNode/geonode,e9658b4ef958b97b916091fea01e161f2c8d59f3,scripts/cloud/ec2.py,simple,boto,boto3,"import os, time, boto","import botocore

import boto3"
7,GeoNode/geonode,e9658b4ef958b97b916091fea01e161f2c8d59f3,scripts/cloud/ec2.py,complex,boto,boto3,"def set_alpha_ip():
    config = readconfig()
    conn = boto.connect_ec2()
    # Assign elastic ip to instance
    instance_id = config.get('ec2', 'INSTANCE')
    conn.associate_address(instance_id=instance_id, public_ip=ALPHA_ELASTIC_IP)","def set_alpha_ip():
    config = readconfig()


    instance_id = config.get('ec2', 'INSTANCE')
    ec2 = boto3.client('ec2')
    try:
        allocation = ec2.allocate_address(Domain='vpc')
        response = ec2.associate_address(
            AllocationId=allocation['AllocationId'],
            InstanceId=instance_id,
            PublicIp=ALPHA_ELASTIC_IP)
        return response
    except botocore.exceptions.ClientError as e:
        print(e)
        return None"
8,GeoNode/geonode,e9658b4ef958b97b916091fea01e161f2c8d59f3,scripts/cloud/ec2.py,complex,boto,boto3,"def terminate():
    config = readconfig()
    instance_id = config.get('ec2', 'INSTANCE')
    conn = boto.connect_ec2()
    conn.get_all_instances()
    instance = None
    for reservation in conn.get_all_instances():
        for ins in reservation.instances:
            if ins.id == instance_id:
                instance = ins

    print 'Terminating instance'
    instance.terminate()
    # Give it 10 minutes to terminate
    for i in range(120):
        time.sleep(5)
        instance.update()
        print instance.state
        if instance.state == ""terminated"":
            config.set('ec2', 'HOST', '')
            config.set('ec2', 'INSTANCE', '')
            configfile = open(CONFIG_FILE, 'wb')
            config.write(configfile)
            configfile.close()
            break

if sys.argv[1] == ""launch_geonode"":
    launch_geonode()
elif sys.argv[1] == ""launch_base"":
    launch_base()
elif sys.argv[1] == ""set_alpha_ip"":
    set_alpha_ip()
elif sys.argv[1] == ""terminate"":
    terminate()
elif sys.argv[1] == ""host"":
    config = readconfig()
    print config.get('ec2', 'HOST')
elif sys.argv[1] == ""key"":
    config = readconfig()
    print config.get('ec2', 'KEY_PATH')
else:
    print ""Usage:\n    python %s launch_base\n     python %s launch_geonode\n    python %s terminate"" % (sys.argv[0], sys.argv[0], sys.argv[0])","def terminate():
    config = readconfig()
    instance_id = config.get('ec2', 'INSTANCE')

    ec2 = boto3.client('ec2')
    ec2.terminate_instances(InstanceIds=[instance_id])

    print(""Terminating instance..."")
    wait_for_state(ec2, instance_id, 'terminated')
    print(""Instance terminated."")

    config.set('ec2', 'HOST', '')
    config.set('ec2', 'INSTANCE', '')
    configfile = open(CONFIG_FILE, 'wb')
    config.write(configfile)
    configfile.close()


if __name__ == '__main__':
    if sys.argv[1] == ""launch_geonode"":
        launch_geonode()
    elif sys.argv[1] == ""launch_base"":
        launch_base()
    elif sys.argv[1] == ""set_alpha_ip"":
        set_alpha_ip()
    elif sys.argv[1] == ""terminate"":
        terminate()
    elif sys.argv[1] == ""host"":
        config = readconfig()
        print config.get('ec2', 'HOST')
    elif sys.argv[1] == ""key"":
        config = readconfig()
        print config.get('ec2', 'KEY_PATH')
    else:
        print(""Usage:\n    "" + 
              ""python %s launch_base\n     "" +
              ""python %s launch_geonode\n    "" +
              ""python %s terminate"" % (sys.argv[0], sys.argv[0], sys.argv[0]))"
9,GeoNode/geonode,e9658b4ef958b97b916091fea01e161f2c8d59f3,scripts/cloud/ec2.py,complex,boto,boto3,"if launch:
        conn = boto.connect_ec2()
        image = conn.get_image(MY_AMI)
        security_groups = conn.get_all_security_groups()

        try:
            [geonode_group] = [x for x in security_groups if x.name == SECURITY_GROUP]
        except ValueError:
            # this probably means the security group is not defined
            # create the rules programatically to add access to ports 21, 22, 80, 2300-2400, 8000, 8001, 8021 and 8080
            geonode_group = conn.create_security_group(SECURITY_GROUP, 'Cool GeoNode rules')
            geonode_group.authorize('tcp', 21, 21, '0.0.0.0/0') # Batch Upload FTP
            geonode_group.authorize('tcp', 22, 22, '0.0.0.0/0') # SSH
            geonode_group.authorize('tcp', 80, 80, '0.0.0.0/0') # Apache
            geonode_group.authorize('tcp', 2300, 2400, '0.0.0.0/0') # Passive FTP 
            geonode_group.authorize('tcp', 8000, 8001, '0.0.0.0/0') # Dev Django and Jetty
            geonode_group.authorize('tcp', 8021, 8021, '0.0.0.0/0' ) # Batch Upload FTP
            geonode_group.authorize('tcp', 8080, 8080, '0.0.0.0/0' ) # Tomcat

        try:
            [geonode_key] = [x for x in conn.get_all_key_pairs() if x.name == 'geonode']
        except ValueError:
            # this probably means the key is not defined
            # get the first one in the belt for now:
            print ""GeoNode file not found in the server""
            geonode_key = conn.get_all_key_pairs()[0]

        reservation = image.run(security_groups=[geonode_group,], key_name=geonode_key.name, instance_type=INSTANCE_TYPE)
        instance = reservation.instances[0]

        print ""Firing up instance""

        # Give it 10 minutes to appear online
        for i in range(120):
            time.sleep(5)
            instance.update()
            print instance.state
            if instance.state == ""running"":
                break

        if instance.state == ""running"":
            dns = instance.dns_name
            print ""Instance up and running at %s"" % dns

        config.set('ec2', 'HOST', dns)
        config.set('ec2', 'INSTANCE', instance.id)
        writeconfig(config)
        
        print ""ssh -i %s ubuntu@%s"" % (KEY_PATH, dns)
        print ""Terminate the instance via the web interface %s"" % instance","if not launch:
        return

    ec2 = boto3.client('ec2')
    vpc_id = ec2.describe_vpcs().get('Vpcs', [{}])[0].get('VpcId', '')

    try:
        geonode_group = ec2.describe_security_groups(
            GroupNames=[group_name])['SecurityGroups'][0]
    except botocore.exceptions.ClientError:
        # Create the security group
        geonode_group = ec2.create_security_group(
            GroupName=group_name, Description='GeoNode rules.', VpcId=vpc_id)
        port_ranges = [
            (21, 21),  # Batch upload FTP
            (22, 22),  # SSH
            (80, 80),  # Apache
            (2300, 2400),  # Passive FTP
            (8000, 8001),  # Dev Django and Jetty
            (8021, 8021),  # Batch upload FTP
            (8080, 8080),  # Tomcat
        ]

        for from_port, to_port in port_ranges:
            ec2.authorize_security_group_ingress(
                GroupId=geonode_group['GroupId'],
                IpProtocol='tcp',
                FromPort=from_port,
                ToPort=to_port,
                CidrIp='0.0.0.0/0')

    try:
        key_pairs = ec2.describe_key_pairs(KeyNames=[key_name])['KeyPairs']
    except botocore.exceptions.ClientError:
        # Key is not likely not defined
        print(""GeoNode file not found in server."")
        key_pairs = ec2.describe_key_pairs()['KeyPairs']

    key = key_pairs[0] if len(
        key_pairs) > 0 else ec2.create_key_pair(KeyName=key_name)
    reservation = ec2.run_instances(
        ImageId=ami,
        InstanceType=instance_type,
        KeyName=key['KeyName'],
        MaxCount=1,
        MinCount=1,
        SecurityGroupIds=[
            geonode_group['GroupId']])
    instance_id = [instance['InstanceId']
                   for instance in reservation['Instances']
                   if instance['ImageId'] == ami][0]

    print(""Firing up instance..."")
    instance = wait_for_state(ec2, instance_id, 'running')
    dns = instance['PublicDnsName']
    print(""Instance running at %s"" % dns)

    config.set('ec2', 'HOST', dns)
    config.set('ec2', 'INSTANCE', instance_id)
    writeconfig(config)

    print(""ssh -i %s ubuntu@%s"" % (key_path, dns))
    print(""Terminate the instance via the web interface."")

    time.sleep(20)"
10,GeoNode/geonode,e9658b4ef958b97b916091fea01e161f2c8d59f3,scripts/misc/upload.py,simple,boto,boto3,"import os, sys
import boto
from boto.s3.key import Key","import os.path
import sys
import boto3
import botocore"
